t,num_objects,dist_min,dist_p10,dist_p50,dist_p90,rel_speed_p10,rel_speed_p50,rel_speed_p90,rel_speed_max,speed_p10,speed_p50,speed_p90,speed_max,size_p10,size_p50,size_p90,size_max
1789224597835,2.0,79.99086600935523,79.99086600935523,79.99086600935523,79.99086600935523,311.38299167725376,311.38299167725376,311.38299167725376,311.38299167725376,67.35079688878274,160.0937961900346,252.83679549128644,276.0225453165994,28138.078915389582,102574.00753114163,177009.93614689368,195618.9183008317
1789224597917,3.0,75.58237391430215,76.87858474896721,82.06342808762749,122.98998173311475,39.25502301102036,150.73232285976277,152.70418801292925,153.19715430122088,27.25877576628007,27.410476315335828,106.12223443893565,125.8001739698356,38126.92989925985,153571.61928053107,186835.68479894678,195151.70117855072
1789224597989,2.0,73.37018018722705,73.37018018722705,73.37018018722705,73.37018018722705,68.70482250207992,68.70482250207992,68.70482250207992,68.70482250207992,27.996795215160013,34.35749822676051,40.718201238361004,42.30837699126113,27774.52291830443,101712.70694877021,175650.890979236,194135.43698685244
1789224598051,3.0,72.84079690450267,76.26320581765401,89.95284147025937,125.54837893158772,21.567646016236374,22.56942757307222,39.39500624128747,43.60140090834128,10.229248698303643,14.246580417663171,26.753325603475005,29.880011899927965,38395.38266520687,154209.24564203806,187087.76761579252,195307.39810923114
1789224598122,3.0,72.65083651957441,76.3225558729872,91.00943328663833,126.13968519775135,6.784938416361393,8.719848548817957,13.674261595490432,14.91286485715855,3.1137400786824276,4.443827012979109,9.42288782134041,10.667653023430736,38544.1746898491,154614.6750181634,187744.95367763826,196027.52334250696
1789224598203,3.0,72.38770000989747,74.95824633725265,85.24043164667333,120.46332439623787,20.213227714594737,70.79525414001394,73.42112808432556,74.07759657040346,3.459197200045989,5.384182232135123,59.73556232599655,73.3234073494619,37718.15527988933,150494.93614597246,186818.57399235293,195899.48345394805
1789224598274,3.0,72.57406350129804,74.62017983999189,82.8046451947673,117.80011025171538,14.918300221618917,35.873250459487615,41.18038709188116,42.50717124997954,3.3614052584643943,10.633133251025855,36.00123280969204,42.34325769935859,37524.264238099946,149438.0791504169,187920.39845170546,197540.9782770276
1789224598334,3.0,72.65034507091211,74.49503965431389,81.87381798792102,116.8139633124741,6.196808131150901,16.183648422286055,18.06789951635111,18.53896228986737,1.6524661141525447,4.557242421610751,16.003103165774682,18.864568351815663,37386.70131201837,148638.8703845339,188434.60968000087,198383.54450386763
1789224598405,3.0,73.01349084286541,76.25227327136272,89.20740298535198,123.92990057948184,25.795114482995302,104.93957324801387,104.9996921375063,105.01472185987942,6.765498143252243,8.160912337140104,80.49170963049026,98.5744089538278,38204.69100549519,152374.99578938633,189255.5381756529,198475.67377221957
1789224598466,3.0,73.15283431202508,76.91332319105223,91.95527870716082,126.62429211531904,11.092984834272466,45.745228396281576,46.115184948469306,46.20767408651624,3.118421680582039,3.3503325824515278,35.19228216498105,43.15276956061343,38663.707299909,154480.19167470932,189826.0396689892,198662.50166755915
1789224598547,2.0,79.75135692935358,79.75135692935358,79.75135692935358,79.75135692935358,207.40182991010116,207.40182991010116,207.40182991010116,207.40182991010116,24.104650919966502,106.11696493196614,188.1292789439658,208.6323574469657,28674.509993024356,104661.10970088188,180647.7094087394,199644.35933570378
1789224598627,2.0,80.94983595913088,80.94983595913088,80.94983595913088,80.94983595913088,62.831978692744094,62.831978692744094,62.831978692744094,62.831978692744094,8.168279811454177,32.89713696979276,57.62599412813135,63.808208417715996,28394.395438586456,103083.40794732934,177772.42045607223,196444.67358325794
1789224598701,2.0,115.09827179526593,115.09827179526593,115.09827179526593,115.09827179526593,97.98603024478268,97.98603024478268,97.98603024478268,97.98603024478268,11.258811424555745,49.96188018067749,88.66494893679923,98.34071612582967,24053.533363436814,81145.70127111627,138237.86917879572,152510.91115571558
1789224598772,2.0,79.19709174340352,79.19709174340352,79.19709174340352,79.19709174340352,14.45619297620511,14.45619297620511,14.45619297620511,14.45619297620511,5.971229908003311,7.3255425975426505,8.679855287081988,9.018433459466824,28536.240561388062,103078.51363701187,177620.7867126357,196256.35498154163
1789224598833,2.0,105.49291688735174,105.49291688735174,105.49291688735174,105.49291688735174,79.67902511240364,79.67902511240364,79.67902511240364,79.67902511240364,11.85216008240771,40.933646033726646,70.01513198504557,77.2855034728753,24096.73481144784,80504.38578040665,136912.03674936545,151013.94949160516
